user,x,y,dem,soc,dam,group,connections,x_mean,x_std,y_mean,y_std
1,19.796444941334215,47.52553118583615,58.588343616496545,3.3333333333333335,33.66098806358518,2,"[(1, 171), (1, 133), (1, 166)]",94.28612108936133,49.519768420414074,81.67324273686869,68.41343119999289
2,97.80985660050149,33.47214458909785,66.78257195150843,0.0,65.64100059479966,3,[],94.28612108936133,49.519768420414074,81.67324273686869,68.41343119999289
3,96.27164661232062,70.38476924061848,62.85299786050476,0.0,83.32820792646956,3,[],94.28612108936133,49.519768420414074,81.67324273686869,68.41343119999289
4,78.68931942535124,57.444700654907486,90.47460702390646,2.2222222222222223,68.06701004012936,3,"[(4, 236), (4, 235)]",94.28612108936133,49.519768420414074,81.67324273686869,68.41343119999289
5,69.13645204052348,32.5157072364503,60.43513990850941,1.1111111111111112,50.82607963848689,3,"[(5, 182)]",94.28612108936133,49.519768420414074,81.67324273686869,68.41343119999289
6,42.000757820425896,83.0759851514106,97.57880337845474,1.1111111111111112,62.53837148591825,4,"[(6, 131)]",94.28612108936133,49.519768420414074,81.67324273686869,68.41343119999289
7,74.7867996723632,62.655771609309355,60.99645496172664,2.2222222222222223,68.72128564083627,3,"[(7, 236), (7, 235)]",94.28612108936133,49.519768420414074,81.67324273686869,68.41343119999289
8,57.452812979522065,22.07064584398168,82.60449374027455,3.3333333333333335,39.76172941175187,3,"[(8, 48), (8, 242), (8, 246)]",94.28612108936133,49.519768420414074,81.67324273686869,68.41343119999289
9,74.354748808153,90.80652437911118,95.39274720913649,0.0,82.5806365936321,3,[],94.28612108936133,49.519768420414074,81.67324273686869,68.41343119999289
10,54.42257360829772,32.837459610844505,98.82036847554582,4.444444444444445,43.630016609571115,3,"[(10, 254), (10, 193), (10, 179), (10, 244)]",94.28612108936133,49.519768420414074,81.67324273686869,68.41343119999289
11,59.615574276671644,2.055967338932973,43.27989962813023,47.77777777777778,30.83577080780231,1,"[(11, 30), (11, 114), (11, 87), (11, 32), (11, 116), (11, 89), (11, 61), (11, 118), (11, 35), (11, 110), (11, 36), (11, 37), (11, 94), (11, 122), (11, 31), (11, 68), (11, 55), (11, 42), (11, 78), (11, 43), (11, 44), (11, 45), (11, 88), (11, 46), (11, 47), (11, 75), (11, 26), (11, 60), (11, 76), (11, 77), (11, 106), (11, 24), (11, 51), (11, 70), (11, 52), (11, 23), (11, 38), (11, 54), (11, 82), (11, 111), (11, 84), (11, 57), (11, 85)]",94.28612108936133,49.519768420414074,81.67324273686869,68.41343119999289
12,80.24145880872462,84.21850299467152,85.37302861870175,0.0,82.22998090169807,3,[],94.28612108936133,49.519768420414074,81.67324273686869,68.41343119999289
13,27.808436348465747,66.45693886709773,86.56883315203767,8.88888888888889,47.13268760778174,4,"[(13, 134), (13, 149), (13, 210), (13, 138), (13, 123), (13, 146), (13, 196), (13, 126)]",94.28612108936133,49.519768420414074,81.67324273686869,68.41343119999289
14,12.428842081869334,48.97381516621506,87.80630916425712,1.1111111111111112,30.701328624042198,2,"[(14, 153)]",94.28612108936133,49.519768420414074,81.67324273686869,68.41343119999289
15,52.190107837825366,93.36620129236995,89.64527486257062,0.0,72.77815456509765,3,[],94.28612108936133,49.519768420414074,81.67324273686869,68.41343119999289
16,28.486232194415933,42.848609484868355,92.15804794842876,7.777777777777778,35.66742083964215,2,"[(16, 262), (16, 130), (16, 171), (16, 194), (16, 161), (16, 170), (16, 141)]",94.28612108936133,49.519768420414074,81.67324273686869,68.41343119999289
17,94.15983037533614,83.88980759711364,77.26124431477899,0.0,89.02481898622489,3,[],94.28612108936133,49.519768420414074,81.67324273686869,68.41343119999289
18,64.66965688533702,76.2995571127676,98.51044935655695,1.1111111111111112,70.48460699905232,3,"[(18, 256)]",94.28612108936133,49.519768420414074,81.67324273686869,68.41343119999289
19,33.04330703406954,71.01662663015681,86.04293939581207,3.3333333333333335,52.029966832113175,4,"[(19, 168), (19, 123), (19, 197)]",94.28612108936133,49.519768420414074,81.67324273686869,68.41343119999289
20,55.89655960237572,52.78156459854083,80.30072930058516,2.2222222222222223,54.33906210045828,3,"[(20, 211), (20, 218)]",94.28612108936133,49.519768420414074,81.67324273686869,68.41343119999289
21,69.38452664133877,51.36018094389175,65.61207480252116,0.0,60.37235379261526,3,[],94.28612108936133,49.519768420414074,81.67324273686869,68.41343119999289
22,82.2057024235366,9.172335489308566,90.12577159538768,2.2222222222222223,45.68901895642258,3,"[(22, 189), (22, 212)]",94.28612108936133,49.519768420414074,81.67324273686869,68.41343119999289
23,60.32717082954885,7.695136670418665,56.84076435054784,87.77777777777777,34.011153749983755,1,"[(23, 25), (23, 30), (23, 58), (23, 112), (23, 87), (23, 115), (23, 118), (23, 88), (23, 44), (23, 116), (23, 11), (23, 89), (23, 105), (23, 61), (23, 86), (23, 90), (23, 62), (23, 35), (23, 63), (23, 29), (23, 92), (23, 114), (23, 119), (23, 65), (23, 38), (23, 122), (23, 95), (23, 31), (23, 67), (23, 106), (23, 40), (23, 68), (23, 55), (23, 97), (23, 36), (23, 69), (23, 59), (23, 98), (23, 33), (23, 78), (23, 50), (23, 83), (23, 110), (23, 100), (23, 46), (23, 45), (23, 82), (23, 102), (23, 41), (23, 47), (23, 75), (23, 104), (23, 66), (23, 42), (23, 49), (23, 77), (23, 84), (23, 24), (23, 51), (23, 79), (23, 108), (23, 52), (23, 80), (23, 57), (23, 53), (23, 94), (23, 81), (23, 117), (23, 54), (23, 70), (23, 111), (23, 27), (23, 234), (23, 56), (23, 28), (23, 71), (23, 113), (23, 85), (23, 34)]",60.334573428300175,0.683862005607962,8.55933876047108,3.42078828382365
