node,x,y,res_val,connections,cluster_num
0,-0.2673788147261318,-0.7821128865339566,0.05997176088538447,"[(0, 800), (0, 513), (0, 354), (0, 133), (0, 52), (0, 667)]",4
1,-0.6964473881503295,-0.14282729863757093,0.17544401658483227,"[(1, 868), (1, 485), (1, 230), (1, 681), (1, 302), (1, 145), (1, 467), (1, 853), (1, 901), (1, 575), (1, 63)]",3
2,-0.19139162369793183,0.9282883856648416,0.030386899310743315,"[(2, 187), (2, 805), (2, 646), (2, 40), (2, 15), (2, 371), (2, 886), (2, 123)]",4
3,0.7429208254679702,-0.7031003600558863,0.029656630117174676,"[(3, 194), (3, 524), (3, 205), (3, 368), (3, 307), (3, 735), (3, 503), (3, 184), (3, 570), (3, 91), (3, 286), (3, 479)]",4
4,-0.886152769574253,0.4288400575224396,0.09884794601817476,"[(4, 89), (4, 162), (4, 139), (4, 714), (4, 726)]",3
5,0.17017717387443732,-0.5854507032935592,0.22701607865837725,"[(5, 480), (5, 161), (5, 484), (5, 511), (5, 148), (5, 119), (5, 31), (5, 61), (5, 447)]",2
6,0.6769254057833447,0.7368502541931234,0.003532342105449532,"[(6, 899), (6, 999), (6, 183), (6, 556), (6, 47), (6, 818), (6, 535), (6, 349)]",1
7,-0.5593813086746606,0.6723849370287596,0.060219949382877475,"[(7, 448), (7, 42), (7, 431), (7, 656), (7, 404), (7, 538)]",3
8,-0.08412482967240953,0.4060643488814142,0.05128289509635442,"[(8, 896), (8, 548), (8, 939), (8, 655), (8, 629), (8, 250), (8, 207)]",4
9,0.47668958174161613,-0.03724172737743281,0.12798635036069436,"[(9, 396), (9, 931), (9, 284), (9, 500), (9, 713)]",4
10,0.9594902595585839,-0.43684077741553673,0.12631517543760554,"[(10, 324), (10, 631)]",3
11,0.8698747282748605,0.8744436568541105,0.09958630813801184,"[(11, 866), (11, 100), (11, 520), (11, 171), (11, 79), (11, 904), (11, 858), (11, 445), (11, 318)]",3
12,0.9629318620938845,0.7053758811764572,0.11990266094062041,"[(12, 676), (12, 323), (12, 395), (12, 94)]",1
13,0.721598284942752,-0.9561612344344772,0.03534304690474577,"[(13, 197), (13, 262), (13, 618), (13, 945), (13, 402), (13, 212), (13, 923), (13, 709)]",2
14,0.3662060991376246,0.24291377084232946,0.22723739845797142,"[(14, 705), (14, 554), (14, 114), (14, 531), (14, 659), (14, 120), (14, 537), (14, 507)]",2
15,-0.264969347824088,0.941687741896315,0.05626346565520385,"[(15, 2), (15, 805), (15, 646), (15, 40), (15, 886), (15, 504), (15, 187)]",2
16,-0.3085420952497939,-0.3663535569801657,0.19776808244703836,"[(16, 960), (16, 355), (16, 326), (16, 457), (16, 748), (16, 111), (16, 692), (16, 953), (16, 861)]",1
17,0.5826140102393338,0.4581405361521591,0.08550133952000072,"[(17, 672), (17, 897), (17, 840), (17, 73), (17, 140), (17, 397), (17, 440), (17, 946), (17, 216), (17, 601), (17, 890), (17, 986), (17, 383)]",1
18,0.19027394759468086,-0.4387510643471082,0.24593772888413398,"[(18, 456), (18, 536), (18, 580), (18, 736), (18, 592)]",1
19,-0.6390579896877864,0.2045974495545575,0.21598343355969307,"[(19, 846), (19, 732), (19, 573), (19, 310), (19, 599)]",3
20,-0.9568946470057513,-0.3216578128871532,0.11073928108282047,"[(20, 928), (20, 353), (20, 779), (20, 588), (20, 406), (20, 409), (20, 955), (20, 156), (20, 477)]",3
21,0.20264582962141042,0.02903853579825899,0.05196450911685299,"[(21, 545), (21, 900), (21, 773), (21, 200), (21, 529), (21, 434)]",4
22,0.8351158333214213,0.6586012297740131,0.22421824358604037,"[(22, 323), (22, 168), (22, 970), (22, 535), (22, 707), (22, 727), (22, 94)]",2
23,0.3476232048549681,0.055782980724628395,0.030439052407394196,"[(23, 961), (23, 423), (23, 201), (23, 529), (23, 916), (23, 823), (23, 500)]",2
24,-0.01905651336871461,0.5269590756356144,0.20111681372698587,"[(24, 66), (24, 105), (24, 655), (24, 83), (24, 85), (24, 919), (24, 250), (24, 789)]",3
25,0.5562033739140382,-0.1693104729274082,0.1371078243377866,"[(25, 514), (25, 809), (25, 75), (25, 674), (25, 849), (25, 475), (25, 734)]",4
26,0.27086800819940526,-0.8041310080563726,0.11301748694183139,"[(26, 683), (26, 636), (26, 125), (26, 614), (26, 95)]",4
27,0.8855297023486837,-0.5384949599640745,0.2484976764067298,"[(27, 324), (27, 902), (27, 587), (27, 723), (27, 759), (27, 631), (27, 126)]",4
28,-0.9444620364430301,-0.6761151747253666,0.1034542137090329,"[(28, 608), (28, 166), (28, 295), (28, 744), (28, 147), (28, 473), (28, 851)]",4
29,-0.8532963598689867,-0.526351155164333,0.024746807930885267,"[(29, 555), (29, 325), (29, 296), (29, 617), (29, 874), (29, 459), (29, 44), (29, 528), (29, 881), (29, 147), (29, 980), (29, 649), (29, 883), (29, 862)]",3
30,0.470846506302661,-0.41671295736382885,0.2039740607104184,"[(30, 832), (30, 258), (30, 419), (30, 134), (30, 39), (30, 684), (30, 77), (30, 533), (30, 155)]",4
31,0.18098370130181896,-0.6607573186007236,0.046241541554876475,"[(31, 484), (31, 5), (31, 367), (31, 272), (31, 113), (31, 148), (31, 119), (31, 61)]",1
32,-0.9842042598176246,-0.893348108247441,0.03062456059325591,"[(32, 57), (32, 746), (32, 413), (32, 206), (32, 993)]",2
33,-0.07865055442624524,-0.1632822890193819,0.03664607333371128,"[(33, 585), (33, 610), (33, 411), (33, 804)]",3
34,-0.4649791555491418,-0.13429744013299905,0.1862311675773557,"[(34, 675), (34, 102), (34, 106), (34, 399), (34, 435), (34, 316), (34, 989)]",3
35,0.29374537822530167,0.9677885433546942,0.18824955639336013,"[(35, 352), (35, 416), (35, 622), (35, 625), (35, 281), (35, 638)]",4
36,0.9767132671880956,-0.09725670312036838,0.16690201127808713,"[(36, 609), (36, 422), (36, 138), (36, 373), (36, 249), (36, 796)]",4
37,0.20971322681793336,0.3698265657968134,0.09779175929633108,"[(37, 384), (37, 273), (37, 596), (37, 598), (37, 824), (37, 988)]",4
38,-0.3213857614407887,-0.619342730919157,0.01608456219323176,"[(38, 450), (38, 515), (38, 918), (38, 934), (38, 252), (38, 354), (38, 98), (38, 558), (38, 239), (38, 565), (38, 642), (38, 476)]",1
39,0.5151797572690768,-0.3520210269642037,0.07632915752021044,"[(39, 419), (39, 134), (39, 203), (39, 880), (39, 276), (39, 533), (39, 30), (39, 693)]",1
40,-0.2102775234232117,0.9099066242410341,0.0845323966609037,"[(40, 2), (40, 187), (40, 805), (40, 646), (40, 15), (40, 886), (40, 504), (40, 123)]",1
41,-0.47573283903715513,-0.6426747557212329,0.1341568603752991,"[(41, 312), (41, 498), (41, 515), (41, 754), (41, 887)]",1
42,-0.5841774873936829,0.6294565483055004,0.12980178075372606,"[(42, 7), (42, 360), (42, 431), (42, 656), (42, 949), (42, 538)]",2
43,0.838131911732465,-0.2780705292244732,0.20603003353090396,"[(43, 761), (43, 850), (43, 510), (43, 86), (43, 925)]",3
44,-0.8044202039991206,-0.5256146636244117,0.11909634809628253,"[(44, 459), (44, 325), (44, 296), (44, 617), (44, 874), (44, 555), (44, 881), (44, 883), (44, 980), (44, 649), (44, 29)]",3
45,0.859503251049333,0.39372503313576,0.2114503665323652,"[(45, 942), (45, 110), (45, 336), (45, 341), (45, 505), (45, 185), (45, 442), (45, 828), (45, 730)]",3
46,-0.06973832327246554,-0.5716259444651957,0.015012782186246049,"[(46, 193), (46, 322), (46, 742), (46, 903), (46, 845), (46, 563), (46, 690), (46, 691), (46, 121), (46, 979)]",1
47,0.6940139904800586,0.6519540646530679,0.09701129719099794,"[(47, 6), (47, 168), (47, 556), (47, 749), (47, 349), (47, 574)]",2
48,-0.8469571624395467,0.8262464010494319,0.11122986367719248,"[(48, 78), (48, 400), (48, 178), (48, 470), (48, 763), (48, 509)]",4
49,0.11325168038502209,-0.1926318725289815,0.07522226460931064,"[(49, 936), (49, 914), (49, 843), (49, 532), (49, 391)]",4
50,0.5103247891053408,0.6821585622611948,0.0859029309225893,"[(50, 68), (50, 838), (50, 136), (50, 432), (50, 370), (50, 374), (50, 183)]",4
51,-0.8309472403725875,-0.8974612694081618,0.1704049901770155,"[(51, 169), (51, 547), (51, 430), (51, 294)]",4
52,-0.2337603866013238,-0.8104463587146191,0.20894370510512889,"[(52, 0), (52, 513), (52, 133), (52, 559), (52, 667), (52, 957), (52, 800)]",2
53,-0.06136408072325339,-0.2708648945716998,0.11191681971293216,"[(53, 864), (53, 451), (53, 804), (53, 950), (53, 426), (53, 428), (53, 269), (53, 974), (53, 414), (53, 662), (53, 932), (53, 219), (53, 733), (53, 222)]",2
54,-0.7461602548438804,-0.661596710496686,0.14831181994425688,"[(54, 226), (54, 997), (54, 232), (54, 617), (54, 496), (54, 593), (54, 699)]",4
55,0.6247429549873971,0.9159806556013124,0.06627588107817678,"[(55, 822)]",3
56,-0.14106534245900604,-0.435925953330504,0.12164888127546664,"[(56, 263), (56, 680), (56, 776), (56, 888), (56, 698), (56, 826), (56, 158)]",1
57,-0.9631271279738891,-0.8140146284557301,0.06364844282042867,"[(57, 32), (57, 608), (57, 132), (57, 993), (57, 746), (57, 206), (57, 473), (57, 413)]",1
58,0.2710778909809164,-0.9814170467125851,0.06937497303405693,"[(58, 519), (58, 202), (58, 683), (58, 246), (58, 568), (58, 382)]",3
59,0.58301395006063,-0.02397941913655921,0.07219934387145982,"[(59, 321), (59, 966), (59, 743), (59, 652), (59, 775), (59, 396), (59, 849), (59, 284), (59, 734)]",2
60,-0.41133836843706084,-0.3753003570207927,0.07647371628178204,"[(60, 960), (60, 861), (60, 326), (60, 71)]",4
61,0.12849532594724988,-0.6534039237072697,0.2089898255279501,"[(61, 480), (61, 891), (61, 484), (61, 5), (61, 334), (61, 367), (61, 272), (61, 113), (61, 244), (61, 463), (61, 119), (61, 148), (61, 447), (61, 31)]",3
62,-0.7299892701963946,0.3803099060434245,0.16292745942268624,"[(62, 788), (62, 164), (62, 917)]",1
63,-0.6753078028426844,-0.18559189272764298,0.1502100415697157,"[(63, 1), (63, 868), (63, 485), (63, 230), (63, 681), (63, 76), (63, 302), (63, 719), (63, 927), (63, 901), (63, 575), (63, 453)]",1
64,-0.07716935425029647,0.9104416451312611,0.2417295678624817,"[(64, 313), (64, 371), (64, 93), (64, 342)]",1
65,-0.08443520434079455,0.04960707350578519,0.07916001989401747,"[(65, 362), (65, 275), (65, 482), (65, 758), (65, 191)]",4
66,0.04821577779165698,0.50449674542077,0.049628870012264764,"[(66, 320), (66, 105), (66, 109), (66, 655), (66, 83), (66, 85), (66, 793), (66, 24), (66, 729), (66, 860), (66, 789)]",1
67,-0.19309686776999868,0.5441047277335116,0.04354984684179422,"[(67, 807), (67, 424), (67, 487), (67, 112), (67, 117), (67, 921), (67, 767)]",4
68,0.4265128759015573,0.7319348927541554,0.1923560107995859,"[(68, 136), (68, 50), (68, 370), (68, 374)]",3
